mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
338.4166429042816,9.850757819019325,8.66178027788798,0.1798530492362449,10.0,,10000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4388765990180263,0.43578112619401255,0.43880460876906097,0.43782077799369995,0.0014425510382565351,19
478.0916199684143,22.979473448196572,6.647202253341675,0.0370671649065286,10.0,,20000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.46099746381055984,0.45796682124142507,0.46212784682693614,0.46036404395964037,0.0017567866520959196,2
454.60649220148724,8.780023633151622,6.256426731745402,0.12265037836244096,10.0,,20000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.45423387402228516,0.45270722910019157,0.4526763109037117,0.4532058046753962,0.0007270643805642905,10
604.6494071483612,48.499021748390064,11.441800673802694,0.3841578821459549,10.0,,20000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4467620259717541,0.4470569338669218,0.44585126397473246,0.44655674127113615,0.0005131707503120964,14
420.09563581148785,21.343170077312667,8.63896099726359,0.2618427531488158,10.0,,20000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': None, 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4526441764286626,0.4555123839061559,0.4551467758244306,0.45443444538641636,0.0012746802273977673,8
194.12275322278342,10.928100236351693,6.310837348302205,0.04637320763478334,10.0,balanced,5000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.3988295491393895,0.39768790958394584,0.40120369215689305,0.3992403836267428,0.0014644158123199309,50
142.04522395133972,6.994233057943129,5.86163067817688,0.1586655632416378,10.0,balanced,5000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.3945736641220734,0.3914833474751265,0.3972856525618382,0.39444755471967935,0.0023704589943509898,52
216.96493848164877,10.705339946317281,10.580552895863852,0.23975634021121725,10.0,balanced,5000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.380369471714351,0.3759109793053011,0.37928307556387936,0.37852117552784387,0.0018982285406964898,59
174.27286386489868,8.170136767504358,8.52605120340983,0.360196351719461,10.0,balanced,5000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.3905052542061409,0.38910366428945664,0.3955076938240159,0.3917055374398712,0.0027487461930556976,54
230.35145616531372,1.9157029267061343,6.816070159276326,0.3991482459367503,10.0,balanced,10000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.4393670989552711,0.43702450633514056,0.4421398784769509,0.4395104945891209,0.0020908020419857587,17
175.6329313913981,13.388895611891781,6.607818762461345,0.29150819559930163,10.0,balanced,10000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.43415763585148115,0.4322793312375092,0.4335410479039734,0.4333260049976546,0.0007817457576414421,20
260.8496699333191,12.547106473129556,12.179619232813517,0.7840516964111022,10.0,balanced,10000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.4188511244770174,0.41766786090837754,0.4240210834363805,0.4201800229405918,0.0027586636218102597,32
214.15977851549783,14.665339179834122,9.864067395528158,0.1944421880166858,10.0,balanced,10000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 10000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.43160807739122925,0.42973661021275333,0.43237833339891046,0.4312410070009643,0.0011092732911316204,22
291.982168118159,22.072299914143926,7.217686017354329,0.46074539095034306,10.0,balanced,20000,"(1, 1)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.46270535668100266,0.45873814761539533,0.46266680358920176,0.4613701026285333,0.0018611397903091917,1
256.68455664316815,16.278765536244,6.49407426516215,0.462144882955802,10.0,balanced,20000,"(1, 1)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.45686126995055804,0.453279220313496,0.45586710590106183,0.4553358653883719,0.0015098415507013394,7
345.18667006492615,22.64357425715628,9.455870469411215,1.4712880081369357,10.0,balanced,20000,"(1, 2)",,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.45272182702014163,0.45186863730883225,0.4552204350192125,0.45327029978272887,0.001422264333449203,9
248.793008963267,11.45463587177143,7.411608060201009,0.10932544458957813,10.0,balanced,20000,"(1, 2)",english,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.4589556710015201,0.45546489306495497,0.45912583192336837,0.45784879866328115,0.0016871066180751111,6
